price,bed,bath,sqft,type,yearbuilt,parking,heating,cooling,area
"$2,849,000",3,null,null,Condo,1922,"On street, Attached Garage",Forced air,No Data,San Francisco
"$795,000",1,1,538,Condo,2020,1 space,No Data,Condo,San Francisco
"$1,340,000",3,2,"1,750",Single Family,1907,Attached Garage,Forced air,Central,San Francisco
"$1,995,000",3,null,null,Multi Family,1900,Detached Garage,No Data,No Data,San Francisco
"$1,399,000",3,null,null,Condo,1905,No Data,Gas,Wall,San Francisco
"$1,150,000",3,null,null,Condo,2009,Carport,No Data,No Data,San Francisco
"$495,000",605 sqft,null,null,null,null,null,null,null,San Francisco
"$2,450,000",3,null,null,Single Family,2017,2 spaces,No Data,No Data,San Francisco
"$1,450,000",2,2,"1,038",Condo,2020,1 space,Forced air,Condo,San Francisco
"$998,000",2,null,null,Condo,1900,None,Gas,No Data,San Francisco
"$1,075,000",2,2,"12,200",Condo,1905,No Data,"Forced air, Radiant",Central,San Francisco
"$1,250,000",2,1,"1,755",Multi Family,1876,No Data,No Data,None,San Francisco
"$1,342,451",--,null,null,Single Family,1908,No Data,No Data,No Data,San Francisco
"$2,850,000",4,3,"2,020",Single Family,1900,Attached Garage,No Data,None,San Francisco
"$1,790,000",4,3,"2,180",Single Family,1947,No Data,Forced air,Central,San Francisco
"$1,450,000",3,1,"1,200",Single Family,1918,On street,Forced air,None,San Francisco
"$1,160,492",--,null,null,Condo,1999,No Data,No Data,No Data,San Francisco
"$2,900,000",4,null,null,Single Family,1880,Attached Garage,No Data,No Data,San Francisco
"$1,634,696",3,null,null,Single Family,1992,No Data,No Data,No Data,San Francisco
"$1,995,000",3,null,null,Condo,2010,1 space,Forced air,None,San Francisco
"$2,500,000","4,046 sqft",null,null,null,null,null,null,null,San Francisco
"$3,095,000",4,null,null,Single Family,1925,Attached Garage,Forced air,Central,San Francisco
"$4,844,000",--,null,null,Multi Family,No Data,Attached Garage,No Data,No Data,San Francisco
"$1,299,000",3,null,null,Single Family,1950,Attached Garage,Forced air,Central,San Francisco
null,"1,750 sqft",null,null,null,null,null,null,null,San Francisco
"$1,625,000",4,null,null,Multi Family,1902,No Data,Forced air,"Central, Wall",San Francisco
"$795,000",1,null,null,Condo,1923,2 spaces,Forced air,No Data,San Francisco
"$2,199,000",3,null,null,Condo,2003,Attached Garage,Forced air,Central,San Francisco
"$1,795,000",5,null,null,Multi Family,1900,No Data,Forced air,"Central, Wall",San Francisco
"$1,700,000",--,null,null,Multi Family,1890,Attached Garage,Forced air,None,San Francisco
"$1,120,000",2,2,"12,200",Condo,1905,No Data,"Forced air, Radiant",Central,San Francisco
"$1,525,000",3,null,null,Condo,2003,Attached Garage,Gas,Wall,San Francisco
"$2,100,000",4,null,null,Multi Family,1923,Attached Garage,No Data,No Data,San Francisco
"$1,400,000",4,null,null,Single Family,1992,Attached Garage,Forced air,Central,San Francisco
